Time,Cell Name,EPM_RRC_SR,EPM_ERAB_SR,Cluster
2022-08-27,LCAIN30073-2,100.0,99.8167,4
2022-08-27,LCAIN30073-3,100.0,99.9099,4
2022-08-27,LCAIN30073-5,100.0,99.9128,4
2022-08-27,LCAIN30073-6,100.0,99.815,4
2022-08-27,LCAIN30073-7,100.0,99.9211,4
2022-08-27,LCAIN20191-1,100.0,100.0,49
2022-08-27,LCAIN20191-2,100.0,99.8012,49
2022-08-27,LCAIN20191-3,100.0,100.0,49
2022-08-27,LCAIN20191-5,100.0,100.0,49
2022-08-27,LCAIN20191-6,100.0,100.0,49
2022-08-27,LCAIN20191-7,100.0,100.0,49
2022-08-27,LCAIN20182-1,100.0,100.0,49
2022-08-27,LCAIN20182-2,100.0,100.0,49
2022-08-27,LCAIN20182-3,100.0,100.0,49
2022-08-27,LCAIN20182-5,100.0,100.0,49
2022-08-27,LCAIN20182-6,100.0,100.0,49
2022-08-27,LCAIN20182-7,100.0,100.0,49
2022-08-27,LCAIN20164-1,100.0,99.8527,16
2022-08-27,LCAIN20164-2,100.0,100.0,16
2022-08-27,LCAIN20164-3,100.0,100.0,16
2022-08-27,LCAIN20164-5,100.0,100.0,16
2022-08-27,LCAIN20164-6,100.0,100.0,16
2022-08-27,LCAIN20164-7,100.0,100.0,16
2022-08-27,LCAIN20156-1,100.0,100.0,16
2022-08-27,LCAIN20156-3,100.0,100.0,16
2022-08-27,LCAIN20156-5,100.0,100.0,16
2022-08-27,LCAIN20156-6,100.0,98.7952,16
2022-08-27,LCAIN20156-7,100.0,100.0,16
2022-08-27,LCAIN10147-1,100.0,100.0,38
2022-08-27,LCAIN10147-2,100.0,100.0,38
2022-08-27,LCAIN10147-3,100.0,100.0,38
2022-08-27,LCAIN10147-5,100.0,100.0,38
2022-08-27,LCAIN10147-6,100.0,100.0,38
2022-08-27,LCAIN10147-7,100.0,100.0,38
2022-08-27,LCAIN10142-1,100.0,100.0,38
2022-08-27,LCAIN10142-2,100.0,100.0,38
2022-08-27,LCAIN10142-3,100.0,100.0,38
2022-08-27,LCAIN10142-5,100.0,100.0,38
2022-08-27,LCAIN10142-6,100.0,98.2036,38
2022-08-27,LCAIN10142-7,100.0,100.0,38
2022-08-27,LCAIN10118-1,100.0,100.0,38
2022-08-27,LCAIN10118-2,100.0,100.0,38
